000_md5sum 0x14e4:0x168a 0x14e4:0x168e 0x6001:
1e07ed0b3dbc01f3d018d7c0930634a7 0 0 1
dfd09597880a32071decaffdaa44a802 0 0 1
63ed0a98b98691920ff90ca095a266fd 0 0 1
c848dba8867700e63559d9ca65f8dd36 0 0 1
3bdf60743711576146ffd3df1c401424 0 1 0
b11aab6344815cde37dc2eeccfe99a98 0 0 1
1eca360390c6d3fc173ec801a7c7d610 0 0 1
340fa0c99c8acec05952337def820164 0 0 1
cd6dd1a1f8556e3d9c07e3da75a86606 0 0 1
0460f71499e0146186114c92a1372ff5 0 0 1
0cba44e2327608e64d7ef37ca4060f4e 0 0 1
688ec849cdba8b57bbbd43824a20d2b2 0 0 1
69a515a8255fa2d83ccfbc048c75be9d 0 0 1
63a2d7300867ab417be6b33617c51138 0 0 1
2da0cda33625f3286793375952daf0a9 0 0 1
8e81fb58329a5e747e03d6b67a4fc45b 0 0 1
715a95476f2a3ce26671b8950120d05c 0 0 1
efdda5756ce1fa8b1850d495b4df8bbc 0 0 1
c8c171e43db0ef8805650b64221e0c63 0 0 1
a9660ddc1b51d58447cf66279958c1ef 1 0 0
bcee23322fb238378f05ee005b193b91 0 0 1
e3d6a96eb837b8b0188a3b3b2f67d5b8 0 0 1
2a9b20e135df495a4d97260bce86473a 0 0 1
c11a5221c3cdc616928849ee91e61d9b 0 0 1
bd05d04baf907eaeefebaa07374f55f9 0 0 1
76b8044f6922f88990c67c9354a9a6a1 0 0 1
51ae396a2dbff40405c8dfabef01a4df 0 0 1
21c63f919df02a9e58fbcedd4ee562dc 0 0 1
d57e1318cfc41ace73a459ed6e610e6a 0 0 1
9c522c3bfdfd21289750105a71d28190 0 0 1
