000_md5sum 4.12.14-95.24-default 4.12.14-95.32-default 4.12.14-95.45-default 4.12.14-95.48-default 4.12.14-95.60-default 4.12.14-95.65-default 4.12.14-95.71-default 4.12.14-95.74-default 4.12.14-95.77-default
4a72462d3857f2814fc38dbe33c5ee6e 0 0 1 0 0 0 0 0 0
025a6c6d38f01cd4ace436b91d997792 0 0 0 0 0 0 0 0 1
2ce4f3c89b79420bd9855d54de965314 0 0 0 0 0 0 1 0 0
8a05b9f585333f5aea3c85c44c7e83f8 0 0 0 0 0 0 1 0 0
5ce28e982b13ee7405cfa7d07cb0686f 0 0 1 0 0 0 0 0 0
e97ef2b8e855d8e9421c5c25653fe138 0 1 0 0 0 0 0 0 0
64868434039695247d33b321524fb148 0 0 0 0 0 0 0 1 0
7bacf9bd80963e49ebe30146d0d0073a 0 0 0 0 0 0 0 1 0
29c4ec9cff06321cdcad489c89b10883 0 0 0 0 0 1 0 0 0
0c1d226e674237ff71b9bc7f88aa511e 0 0 0 0 1 0 0 0 0
5ec7eda9e58c2e55fee60fb8be6bcbda 0 0 0 1 0 0 0 0 0
d228c193a4f982926f2004f603185e7e 0 0 0 0 0 0 1 0 0
f311c8f39f573b950f4f5fc202eb852b 0 0 0 0 0 0 1 0 0
138b6919a7ef327730f2a2436d5a6eb2 0 0 0 0 0 0 1 0 0
8879212cfbf299a5f364229ce451c036 0 0 1 0 0 0 0 0 0
062b99d2daba8cf795404793ff265eba 1 0 0 0 0 0 0 0 0
cea2c0d441626b449625232dcb43818e 1 0 0 0 0 0 0 0 0
bf60a0cb069a10aacfaa5d4107c59a78 0 0 0 1 0 0 0 0 0
e820bbf926ecc27fbf03e83945b984f6 0 0 0 1 0 0 0 0 0
