000_md5sum 4.12.14-122.17-default 4.12.14-122.32-default 4.12.14-122.54-default 4.12.14-122.57-default 4.12.14-122.60-default 4.12.14-122.63-default 4.12.14-122.71-default
47f97b1ed4a64f7253cf62bfb632b9c5 0 0 0 0 0 1 0
af1c6e1781a92296b1e85680acbe6b29 0 1 0 0 0 0 0
f65e9f09826053807e53c371a9c4b8ee 1 0 0 0 0 0 0
144b9af28d8da4b964b11b56596ae464 0 0 0 0 1 0 0
6fea57d6ddfdcfed4d847c8b5e08f0eb 0 0 1 0 0 0 0
2be547de08aea45d5840634cfa72b43f 0 0 1 0 0 0 0
a465753356c6333641fcc8c9617aa5c2 0 0 1 0 0 0 0
1e9d98b3c2f486508d988bf1aa881306 0 0 1 0 0 0 0
bcec614fda204579225d9523a4f7f6e7 0 0 0 0 0 0 1
78855d910131f412f64242d2ae1f613a 0 0 0 0 0 0 1
ba3828567cc40af7c933311e499601e8 0 0 0 1 0 0 0
45447abe5a6ca7923bc451cd28aa1051 0 0 0 0 0 1 0
53e1fe2d863f7999d242931820c59c22 0 0 0 0 0 0 1
