000_md5sum 4.12.14-150.69-default 4.12.14-197.40-default 4.12.14-197.56-default 4.12.14-197.78-default 4.12.14-197.86-default 4.12.14-197.92-default
c6abd6ac9acfb4b831335256c1ea1e43 0 0 1 0 0 0
e2d50bf8a349e76b12beb7d4f60f7740 0 0 0 1 0 0
85e99a033f2636abad8535084015cfef 0 0 0 1 0 0
195892bea5d852539781688e3e42212c 0 0 0 1 0 0
a5f67aa13d1f0e807b1b97b6483eeea9 0 0 0 1 0 0
c9afe1d1d34efb0ed864d7fcbd079ab0 0 0 0 1 0 0
623d841227c1758f52732035dfcde4f3 0 0 0 1 0 0
50040157f048c4c4f896b6f6cc8d220b 0 0 0 1 0 0
e9d8a5591d76bcb60220d5bce5eb7888 0 0 0 0 1 0
307f1e25fb8fea9390ee1af0f7a98b9c 0 0 0 0 1 0
e7bd2bd6016d4c77187dbf5f07fb6820 0 0 0 0 0 1
0d1856b04605a17ce1105539796c634b 0 1 0 0 0 0
f957bb703327230e01e17102ff3a45d1 0 1 0 0 0 0
8f7815d418085794479045324a09ea16 1 0 0 0 0 0
