000_md5sum 4.12.14-195-default 4.12.14-197.26-default 4.12.14-197.29-default 4.12.14-197.34-default 4.12.14-197.37-default 4.12.14-197.40-default 4.12.14-197.45-default 4.12.14-197.51-default 4.12.14-197.56-default 4.12.14-197.64-default 4.12.14-197.67-default 4.12.14-197.72-default 4.12.14-197.75-default 4.12.14-197.75.1.20796.1.PTF.1179810-default 4.12.14-197.78-default 4.12.14-197.78.1.21070.0.PTF.1181809-default 4.12.14-197.78.1.21087.1.PTF.1178049-default 4.12.14-197.83-default 4.12.14-197.86-default 4.12.14-197.86.1.22161.1.TEST.1183608-default 4.12.14-197.89-default 4.12.14-197.92-default 4.12.14-8.27-azure
477aa893eda33e833553eb427fb0c1d9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
cc7cde2bce1c1ae6fc66d1aa76a4bdde 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
5b874bc36142111b1ac7b5a74f65fffb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
d05fc09c8270e6c58e7a003cfb9e4360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
83c6d11d8448585824f30daa736a2012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
b4f218a805845069d07c4d285c8e7bd8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
03cfdfc93f98c48ee2d7b61f394c2d52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
45a768c85f47c385fbe30d11364f491a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
8dfa3d73dca5a56fb20d29e400911c71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
87a8c9ffd1c5dfc6fcf4847b130849c3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
b273b7992536209b02f6c27200237441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
90a0afb525d7865de239ac82268d6962 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
4e07d8b9daf00ce909329aefefb5a337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
bd11e8fdb3b07d18f8802a12f1c37dca 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
62d08c98c2277f3a2bb820e7385005e6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
56b304a8283a8c15fcfa7b365c19cae0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
143fbab2185c059240dec493dd17e4d4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
96151ff879991fb8034a503facc30855 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
f5ad36be845fe0e1833ab6fe5b522839 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
ef8c96f7ab5b7212fc4a7a2d84c0c3b8 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
bcee531ec1b7bf5de059a9c266f59438 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3662fa327807c832f08d1d88e48323b6 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
d8e8777338cbf0d230710e420df1fe11 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
a29adb5a5759141327c4ac2a903fe2a8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
2bf44c55ac13af447184618493239e41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
82d86a18831a3267f5c083e9aaabc512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
e9887035000dc6ca494879a8d045d56d 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
ea3943bfb73b2437601c6f24a5d27ae3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
6f6a51d37ad9eea9a7b7b1987a593429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
386e91f67d19bb2fafd24e171521f313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
d661014fdef9a03dcc1d91ac3f3cb8e4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
91ab06b38a77b89bbb06f6a69636362b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
496538ffdcc2521f89c28b1a98a9549e 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
6e230761437893adec5cbfca653d97b6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
237ed6edaf41a871cf12c0a18fb9d1c8 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
