000_md5sum 4.12.14-150.72-default 5.3.18-22-default 5.3.18-24.12-default 5.3.18-24.46-default 5.3.18-24.49-default 5.3.18-24.49.3.21367.0.PTF.1182571-default 5.3.18-24.52-default 5.3.18-24.61-default 5.3.18-24.64-default 5.3.18-24.64.2.22368.0.PTF.1185938-default 5.3.18-24.67-default
8e028f9398a94c0a24918a36ee548e0c 0 0 0 0 0 0 0 0 0 1 0
7cc6bca18d34db1bda03e0c0e633f9c3 0 0 0 0 0 0 0 0 1 0 0
8ebdb10a5aef9e8ea93d502a7dcf440a 0 0 0 0 0 0 0 0 1 0 0
5f8a964ec752900c2c5bdf4561a05849 0 0 0 0 0 0 1 0 0 0 0
00ad6a3fedc432f1dc55dd53422ff23b 0 0 0 0 0 0 1 0 0 0 0
e7844a133ab36dee0bd78f62a760c67b 0 0 0 0 1 0 0 0 0 0 0
d51ec29d235e8f56566e72c8296bf58e 0 1 0 0 0 0 0 0 0 0 0
a0eee09514dc529e784fb8ccf04a16e7 0 1 0 0 0 0 0 0 0 0 0
7ff51edfe9b1e376bb2c05c0667ea08a 0 0 0 0 0 0 0 1 0 0 0
32c88553d94900ccce2ddc94bd80051a 0 0 0 1 0 0 0 0 0 0 0
9c9e535d705387e22558f0ddedc9c72d 1 0 0 0 0 0 0 0 0 0 0
5bab64b683978b8dc791f631309f39ab 0 0 0 0 0 0 0 0 0 0 1
7a4d30e7c10bddd8d6745bd6f2883632 0 0 0 0 0 0 1 0 0 0 0
6e6d758ef01e77d808a20903cd67dbba 0 0 0 0 0 0 0 0 0 0 1
7e78ffcf663f38cf53705c7ec063b43a 0 1 0 0 0 0 0 0 0 0 0
eb12ce6d95e9ad7f41c946483a4c28db 0 1 0 0 0 0 0 0 0 0 0
8a4139705e5d570bce8b27371000eaa2 0 1 0 0 0 0 0 0 0 0 0
d63366ca996998b74e712bf094d8c5b1 0 1 0 0 0 0 0 0 0 0 0
13654e1a96809ab2c38870f7fd0316d0 0 1 0 0 0 0 0 0 0 0 0
f7cf3a8625896c0b7e7afca01dfcc848 0 1 0 0 0 0 0 0 0 0 0
d889d785a1186a50a5cb7b6630d3287f 0 1 0 0 0 0 0 0 0 0 0
20355c224b80029cc9043be565f1f08d 0 1 0 0 0 0 0 0 0 0 0
6496bfa00ec6ca411c91c34ab12b8655 0 0 1 0 0 0 0 0 0 0 0
c32321d65e26dc6a0aa1a7188e0e7758 0 0 0 0 0 1 0 0 0 0 0
a9bf0331735762f44f55821ccaaa45b0 0 1 0 0 0 0 0 0 0 0 0
