000_md5sum 4.12.14-150.17-default 5.3.18-22-default 5.3.18-24.43-default 5.3.18-24.46-default 5.3.18-24.49-default 5.3.18-24.52-default 5.3.18-24.61-default 5.3.18-24.67-default
9c9207617dfdff56af5afe1d70032ac5 0 0 1 0 0 0 0 0
56583e384da809a715d657fd7858d4fc 0 0 1 0 0 0 0 0
27a936806635a50143f174c18d391076 0 0 0 1 0 0 0 0
fb7ab379974c6a692103d367033d59b7 0 0 0 0 1 0 0 0
ccd48d232c84dd7e59025adecc690c8a 0 0 0 0 1 0 0 0
0172b844473a0561d8f2096b2c6b4d53 0 0 0 0 1 0 0 0
1286852142ad6ff4e6b1059e3a09bf6f 0 0 0 0 1 0 0 0
3851c772069037663d98d896c261a82c 1 0 0 0 0 0 0 0
64fccb4d2a0e04bc32b4025fc467b892 0 0 0 0 1 0 0 0
711788a4b0556d948f99ca8c1422eec9 0 0 0 0 1 0 0 0
f192050c396733298cb1a7783750eafb 0 0 0 0 0 1 0 0
f71d14f3c2877b80af4269e314626243 0 0 0 0 0 1 0 0
cad0f80bc613c2ff0807d206de2aea27 0 0 0 0 0 1 0 0
9bf4d4eebe3c69d8f981b7c81784ffe9 0 0 0 0 0 1 0 0
52077acd9af6b859eb55367e15444ae6 0 0 0 0 0 1 0 0
bb25defb0e99f5efc3105628dc4d5a1e 0 0 0 0 1 0 0 0
6d03cadf6cb771c023fede01627df782 0 0 0 0 0 1 0 0
a01910d6074dc6e6bc9899700f29b790 0 0 0 0 0 0 0 1
e7844a133ab36dee0bd78f62a760c67b 0 0 0 0 1 0 0 0
d51ec29d235e8f56566e72c8296bf58e 0 1 0 0 0 0 0 0
a0eee09514dc529e784fb8ccf04a16e7 0 1 0 0 0 0 0 0
7ff51edfe9b1e376bb2c05c0667ea08a 0 0 0 0 0 0 1 0
