000_md5sum SAPS4H SAPSBX c2s csync router s2s sm
6683eb922a87a15579b3177e63b12bbd 0 0 0 1 0 0 0
11c0e51bcfb2f3062e7b0a58246b48d0 0 0 0 1 0 0 0
f75773798d8a5d9ebb06f912628da8f6 0 0 0 1 0 0 0
89b2bd53ff76169310e8877e3c8a9e4e 0 0 0 1 0 0 0
a601c9addb95e725b58599b6d005c99c 1 0 0 0 0 0 0
5ed2e9a446eead9495d91020c4071b4b 0 0 1 0 0 1 1
73388a1655f4537101bb1d3cc096c700 0 1 0 0 0 0 0
5fe04d44c2fe1beaf9b4c19fce5b24d0 0 0 0 1 0 0 0
0ac105fe437cbb8b75231ac462af989d 0 0 0 1 0 0 0
fa641d9f2e6a18e2a9e4fedfd881aa3c 0 0 0 1 0 0 0
f02006c4534a4cf48f6c0b5e6dda16f2 0 0 0 1 0 0 0
0b8e2b53f4b0dfd04bcd394cc55b3644 0 0 1 0 1 1 1
85e99a033f2636abad8535084015cfef 0 0 0 1 0 0 0
195892bea5d852539781688e3e42212c 0 0 0 1 0 0 0
a5f67aa13d1f0e807b1b97b6483eeea9 0 0 0 1 0 0 0
c9afe1d1d34efb0ed864d7fcbd079ab0 0 0 0 1 0 0 0
623d841227c1758f52732035dfcde4f3 0 0 0 1 0 0 0
50040157f048c4c4f896b6f6cc8d220b 0 0 0 1 0 0 0
e9d8a5591d76bcb60220d5bce5eb7888 0 0 0 1 0 0 0
307f1e25fb8fea9390ee1af0f7a98b9c 0 0 0 1 0 0 0
e7bd2bd6016d4c77187dbf5f07fb6820 0 0 0 1 0 0 0
