000_md5sum SAPQAS SAPTGT SAPWE SCAP-TST auditLog crm_verify deklux dqbpshdb logger nailslogd pdbpshdb ptest sapbatch sapqas ukbluapdyn
d8f0bcbb06b7d64ec4f6a992b240d4aa 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
7f7778b69a2e0040b8b00070bb9bf729 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
1c89b31a8a4790741a5081b3db909e32 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
4c964394f099845052e8c8cdc2dd5c8a 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
1a73237a8339fdffa23f48c393ebd97c 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
43ed0b871df840493d19cc4acd631fee 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
d9e9e99688f5b93336ffece33d2a49d8 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
fca2e97ed0022b8bdd9b7b1f896b2c23 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
26d8488885acab47430d0373bcd18313 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0
b418f721e548a1bf2167a8c8439c8d0e 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
