000_md5sum SAPBPP SAPEWC SAPP ah0adm csync liblogging-stdlog nrpe root
63ed0a98b98691920ff90ca095a266fd 0 1 0 0 0 0 0 0
c848dba8867700e63559d9ca65f8dd36 0 1 0 0 0 0 0 0
3bdf60743711576146ffd3df1c401424 0 0 0 0 0 0 1 0
b11aab6344815cde37dc2eeccfe99a98 0 0 0 1 0 0 0 1
1eca360390c6d3fc173ec801a7c7d610 0 0 0 0 0 1 0 0
340fa0c99c8acec05952337def820164 0 0 1 0 0 1 0 0
cd6dd1a1f8556e3d9c07e3da75a86606 1 0 0 0 0 0 0 0
a9660ddc1b51d58447cf66279958c1ef 0 0 0 0 1 0 0 0
76b8044f6922f88990c67c9354a9a6a1 0 0 0 0 1 0 0 0
51ae396a2dbff40405c8dfabef01a4df 0 0 0 0 1 0 0 0
21c63f919df02a9e58fbcedd4ee562dc 0 0 0 0 1 0 0 0
