000_md5sum SAPAW SAPS SAPSE SAPSHA c2s csync s2s sm sshd sudo
9c9207617dfdff56af5afe1d70032ac5 0 0 0 0 0 1 0 0 0 0
56583e384da809a715d657fd7858d4fc 0 0 0 0 0 1 0 0 0 0
27a936806635a50143f174c18d391076 0 1 0 0 0 0 0 0 0 0
ccd48d232c84dd7e59025adecc690c8a 0 0 0 1 0 1 0 0 0 0
0172b844473a0561d8f2096b2c6b4d53 0 0 0 1 0 1 0 0 0 0
64fccb4d2a0e04bc32b4025fc467b892 0 0 0 0 0 0 0 0 1 1
f192050c396733298cb1a7783750eafb 0 0 0 0 0 0 1 1 0 0
52077acd9af6b859eb55367e15444ae6 1 0 0 0 0 0 0 0 0 0
bb25defb0e99f5efc3105628dc4d5a1e 0 0 0 0 0 0 0 0 1 1
6d03cadf6cb771c023fede01627df782 0 0 1 0 0 0 0 0 0 0
a01910d6074dc6e6bc9899700f29b790 0 0 0 0 1 0 1 1 0 0
