000_md5sum SAPD SAPEWD SAPLTD SAPMG SAPP SAPQ SAPR2P SAPRPR SAPXP liblogging-stdlog
79eab08b39a92d6ba4b1c0c76aef7442 0 1 0 0 0 0 0 0 0 0
9b7acba6c75a68fa6eb8348ba2d69bd5 0 0 0 0 0 0 0 0 1 0
466c1a6104ee8cfbac5fdab4aef65aef 0 0 0 1 0 0 0 0 0 1
63feaca62192583d094058b0f3b60782 0 0 0 0 0 0 1 0 0 0
6b8513ca40884925f8a6f8e0bf4427ce 0 0 0 0 0 0 0 0 0 1
4a72462d3857f2814fc38dbe33c5ee6e 0 0 1 0 0 0 0 0 0 0
e97ef2b8e855d8e9421c5c25653fe138 0 0 0 0 0 0 0 0 0 1
64868434039695247d33b321524fb148 1 0 0 0 0 1 0 0 0 0
7bacf9bd80963e49ebe30146d0d0073a 0 0 0 0 1 0 0 0 0 0
f311c8f39f573b950f4f5fc202eb852b 0 0 0 0 0 0 0 1 0 0
