000_md5sum SACBA auditd cleanup ibmperf kernel local login ntpd qmgr sshd su sudo syslog-ng trivial-rewrite vsftpd
e8ff38f0333b4ab09adc6044657b6653 0 0 1 0 1 1 0 1 1 0 0 0 0 1 0
79f4e87d750fbbf48a6e6ea3725fccab 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
113eef70ecdbddbc0f75c91b29051db9 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
29b581824f65d4f20471be2b22c8003b 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
ed9d7fe3ee8d430a14b18f3a5583c193 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
1e55da1fe9d5e554706d02a42f0dc715 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
b24ec8d67c7e3063e08461f177cdae3d 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
ae15751a3e675b674626a40cbcddaf69 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0
f1db172fa17abf435e357619509f94c0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0
29d74124b21fea4c022272ea6efc822a 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0
4b5316f7a3af5007aac41b0ace01ea82 0 0 1 1 0 1 0 0 1 0 0 0 0 1 0
823793c544bf6d5b2319cca1a9cb1381 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
37393197eccf27339320b5032f3b4365 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
cd493c7f12b474830d5bac879fa976a3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
01a45ce42c3445efe5ee044ff2621ab4 0 0 1 1 1 1 0 1 1 1 0 0 0 1 0
9f0666fd6f36d9025744fbeab2c39df8 0 0 1 1 1 1 0 1 1 1 0 1 0 1 0
e4df459150a31fac8014926cd66d3226 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0
c106d36023fc553e6a53deb1246769a6 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0
f81fec77f0a398ee73d9582274e79feb 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0
7d4f49fedd80387a2332b430fa6f4a6d 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0
ce7cc0268055bb917be3e25c8576708b 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
871d100a783b1941cd1b8f7a209aa67e 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0
a57bfa819b872d95fb8592ca650692b6 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
