000_md5sum SACBA kernel postdrop postfix-script qmgr smtp
e8ff38f0333b4ab09adc6044657b6653 0 1 0 0 0 0
ae15751a3e675b674626a40cbcddaf69 0 1 0 1 0 0
f1db172fa17abf435e357619509f94c0 0 1 0 1 0 0
29d74124b21fea4c022272ea6efc822a 0 1 0 1 0 0
cd493c7f12b474830d5bac879fa976a3 0 0 1 0 0 0
01a45ce42c3445efe5ee044ff2621ab4 0 1 0 0 0 0
7d4f49fedd80387a2332b430fa6f4a6d 0 1 0 0 0 0
5b0dc311ab28331f385c796252e23373 1 1 0 0 0 0
c7d34d37c13634ca2deaee2132ceb12c 1 1 0 0 0 0
905756104c29a09ac7f97dba1a5bf9e7 0 1 0 0 0 0
da637027ed7209e0914eddaec38d1c9f 0 1 0 0 0 0
266ed50e7601b25d2af2152069d5388a 0 1 0 0 0 0
05e18fa79894facb8b1ad27693a51fc8 0 1 0 1 0 0
766d2fd49a16fdc6ba5f6b95be531f6a 0 0 0 0 1 0
9bd73c4b3a806f9b04f08add43bd1dc7 0 0 0 0 0 1
