000_md5sum LVM-activate gdm-Xorg gnome-session-binary kernel org.gnome.Shell.desktop pacemaker-based pacemaker-controld sbd
56583e384da809a715d657fd7858d4fc 1 0 0 0 0 1 1 1
ccd48d232c84dd7e59025adecc690c8a 0 0 0 0 0 1 1 1
0172b844473a0561d8f2096b2c6b4d53 0 0 0 0 0 1 1 1
1286852142ad6ff4e6b1059e3a09bf6f 0 0 0 1 0 0 0 0
64fccb4d2a0e04bc32b4025fc467b892 0 0 0 1 0 0 0 0
711788a4b0556d948f99ca8c1422eec9 0 1 0 0 0 0 0 0
cad0f80bc613c2ff0807d206de2aea27 0 1 0 0 0 0 0 0
9bf4d4eebe3c69d8f981b7c81784ffe9 0 1 1 0 1 0 0 0
52077acd9af6b859eb55367e15444ae6 0 0 0 1 0 0 0 0
bb25defb0e99f5efc3105628dc4d5a1e 0 0 0 1 0 0 0 0
6d03cadf6cb771c023fede01627df782 0 1 0 0 0 0 0 0
